1,104 (City of Cambridge) Squadron ATC,,,sc
2,1163 Squadron ATC,,,sc
3,1st Battle Scout Troop,,,sc
4,1st Bradley Stoke Scout Group,,,sc
5,1st East Harptree Guides,,,sc
6,1st Forres Scout Group,,,sc
7,1st Laverstock Scout Group,,,sc
8,1st Minchinhampton Cub Pack,,,sc
9,1st Pucklechurch Scout Troop ,,,sc
10,2152 (North Bristol) Squadron ATC,,,sc
11,240 (Darlaston) Squadron Air Cadets,,,sc
12,26th Colchester Sea Scouts & Endeavour ESU,,,sc
13,296th LodgeMoor Cub Scouts,,,sc
14,2nd Reading Boys' Brigade,,,sc
15,3rd Lymm Scout Group,,,sc
16,79 (Whitchurch) Squadron Air Training Corps,,,sc
17,7th Lichfield Somers Cubs,,,sc
18,8th Bramshill Air Scouts,,,sc
19,Abberley Hall School,,,sc
20,Abington Academy,,,sc
21,Alcester Academy,,,sc
22,Apricot Tree Trust,,,sc
23,Archbishop Temple School,,,sc
24,Ark Elvin Academy,,,sc
25,Aston University Engineering Academy,,,sc
26,Barking & Dagenham College,,,sc
27,Barnard Castle School,,,sc
28,Barnes Wallis Academy,,,sc
29,Bedford College,,,sc
30,Berkhampstead School Cheltenham,,,sc
31,Bickerstaffe CE School,,,sc
32,Black Combe Junior School,,,sc
33,Bournville College,,,sc
34,Bradford College,,,sc
35,Braeburn Garden Estate School,,,sc
36,Bredhurst School ,,,sc
37,Broad Chalke C of E Primary School,,,sc
38,Brooke V.C Church Of England Primary School,,,sc
39,Burton College,,,sc
40,"Caledonian Team Oryx, Oman",,,sc
41,Calthorpe Park School STEM Club,,,sc
42,Camelsdale Primary School,,,sc
43,Castlecroft Primary School,,,sc
44,Chafyn Grove School,,,sc
45,Chase Terrace Technology College,,,sc
46,Chorley Buccaneers American Football Club,,,sc
47,Coledale Public Primary School,,,sc
48,Copse and Loppers Forest School,,,sc
49,Danesfield Manor School,,,sc
50,Davison CE High School for Girls,,,sc
51,Derby College,,,sc
52,"Endon High School, Staffordshire Moorlands",,,sc
53,Exeter College,,,sc
54,Finborough School,,,sc
55,"Science Department, Finborough School",,,sc
56,Flitwick Cubs – Falcons,,,sc
57,Flitwick Cubs – Foxes,,,sc
58,Flitwick Cubs – Tigers,,,sc
59,Framwellgate School Durham,,,sc
